Ad report
"February 1, 2026 - May 27, 2026 compared to October 8, 2025 - January 31, 2026"
Ad status,Final URL,Beacon URLs,Headline,Short headline,Long headline,Long headline 1,Long headline 2,Long headline 3,Long headline 4,Long headline 5,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Portrait image ID,Logo ID,Landscape logo ID,Upload asset ID,Business name,Display Network image ID,Video,Call to action text,Call to action text 1,Call to action text 2,Call to action text 3,Call to action text 4,Call to action text 5,Call to action headline,Video ID,Companion banner,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,ad.device_preference,ad.display_url,Display URL,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Ad strength,Ad strength improvements,CTR,CTR (Compare to),CTR (Change),CTR (Change %),Conv. rate,Conv. rate (Compare to),Conv. rate (Change),Conv. rate (Change %),Currency code,Cost / conv.,Cost / conv. (Compare to),Cost / conv. (Change),Cost / conv. (Change %),Conv. value / cost,Conv. value / cost (Compare to),Conv. value / cost (Change),Conv. value / cost (Change %),Conv. value,Conv. value (Compare to),Conv. value (Change),Conv. value (Change %),Clicks,Clicks (Compare to),Clicks (Change),Clicks (Change %),Cost,Cost (Compare to),Cost (Change),Cost (Change %),Impr.,Impr. (Compare to),Impr. (Change),Impr. (Change %),Avg. CPC,Avg. CPC (Compare to),Avg. CPC (Change),Avg. CPC (Change %),Ad group ID,View-through conv.,View-through conv. (Compare to),View-through conv. (Change),View-through conv. (Change %),Cross-device conv.,Cross-device conv. (Compare to),Cross-device conv. (Change),Cross-device conv. (Change %),Conversions,Conversions (Compare to),Conversions (Change),Conversions (Change %)
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Dog Daycare Rockville, --,Hours of Exercise & Play, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Safe, interactive daycare at MoCo's largest indoor/outdoor pet facility.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-daycare, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,64503560280,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-grooming-paid/, --, --, --, --, --, --, --, --, --,Full-Service Dog Grooming, --,Pro Dog Groomers Rockville, --,"Expert Grooming, Happy Dogs", --,Luxury Dog Spa & Grooming, --,Expert Pet Grooming Near You, --,Breed-Specific Haircuts, --,Certified Pet Styling Pros, --,Deluxe Bath & Brush Ready, --,Full-Service Dog Spa Day, --,Spa Day For Your Best Friend, --,Spa Packages for Every Dog, --, --, --, --, --, --, --, --, --, --,We offer customizable grooming packages to suit your dog’s specific need., --,"At DogiZone, we go beyond basic grooming to offer an experience that pampers your pet.", --,Certified professionals skilled in breed-specific haircuts and gentle care for every dog., --,"Customized services like haircuts, shed control, and skin treatments for every need.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,ET | Dog Grooming KW | Target CPA,Eligible,,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions,5.60%,5.76%,-0.16%,-2.79%,14.81%,18.01%,-3.21%,-17.80%,USD,40.93,34.24,6.69, +19.53%,0.02,0.22,-0.20,-90.78%,101.25,"1,156.10","-1,054.84",-91.24%,824,852,-28,-3.29%,4993.65,5255.12,-261.47,-4.98%,"14,727","14,802",-75,-0.51%,6.06,6.17,-0.11,-1.75%,61613138093,2,0,2, +∞,7.00,13.00,-6.00,-46.15%,122.01,153.47,-31.46,-20.50%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Dog Grooming, --,"Cuddle a Clean, Happy Dog", --,The Best for Your Best Friend, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --, --,"Your Dog is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,ET | Dog Grooming KW | Target CPA,Paused,paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61613138093,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,DogiZone Full-Service Grooming, --,Experienced & Trained Staff, --,Book Your Reservation Today, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"We Treat Your Dog like Family & Always Consider His/Her Personality, Temperament, & Needs.", --, --,"Your Dog is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,ET | Dog Grooming KW | Target CPA,Paused,paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61613138093,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-boarding-paid/, --, --, --, --, --, --, --, --, --,Premier Pet Boarding Care, --,Trusted Dog Kennel, --,Next Best Place To Home, --,Professional Dog Kennel, --,"Trained, Certified Pet Staff", --,Spacious Covered Outdoor Play, --,Custom Pet Stay Packages, --,Ultimate Pet Lodging Care, --,Year-Round Climate Comfort, --,Give Your Dog A Fun Vacation, --,Premium Overnight Love & Care, --,Top Dog Kennel Near Me, --,Best Dog Kennel In Rockville, --, --, --, --, --, --,Resort-style dog boarding in Rockville. Spacious indoor/ and covered outdoor play zones., --,Premium dog boarding with personalized care. Cozy suites & fun activities, --,Expert staff at MD's largest pet center. Indoor/outdoor play & training daily., --,"Certified staff, luxury dog suites & fun activities. Transportation available.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-boarding,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Eligible,,Responsive search ad,Excellent,,5.39%,5.94%,-0.55%,-9.30%,15.98%,19.41%,-3.43%,-17.69%,USD,37.05,34.01,3.03, +8.92%,0.01,0.02,-0.01,-40.67%,17.03,42.00,-24.98,-59.46%,314,412,-98,-23.79%,1858.94,2720.55,-861.61,-31.67%,"5,830","6,938","-1,108",-15.97%,5.92,6.60,-0.68,-10.34%,160100427989,0,0,0,0.00%,3.50,4.00,-0.50,-12.50%,50.18,79.99,-29.81,-37.27%
Paused,https://www.dogizone.com/dog-boarding/, --, --, --, --, --, --, --, --, --,Quality Dog Kennel, --,"Dog Kennel in Rockville, MD", --,The Next Best Thing to Home, --,Trained & Certified Staff, --,DogiZone Dog Kennel, --,A Great Place to Stay & Play, --,Book Early For The Holidays, --,Your Dog's Home Away From Home, --,50% Off For 1st Time Customers, --,Large Indoor/Outdoor Facility, --,Book Your Dog's Stay Today, --,Give Your Dog A Fun Vacation, --,"DogiZone® Stay, Play, Train", --,Premium Overnight Love & Care, --,"Full-Service, Trusted Lodging", --, --,"Expert Care & Attention From Loving, Experienced & Certified Staff Members. We Love Dogs!", --,"Feel Confident that Your Dog is Happy & Secure in a Safe, Healthy, & Fun Environment.", --,Our Award-Winning Facility Offers the Most Activities & Outdoor Space for Your Dog—Call Us, --,We Take Care Of Your Best Friend With Lots Of Love & Attention. Book For Your Pet Today!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-kennel,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Kennel KW | Target CPA,Paused,paused,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,160100427989,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-boarding-paid/, --, --, --, --, --, --, --, --, --,Premier Pet Boarding Care, --,Trusted Pet Boarding, --,Next Best Place To Home, --,Professional Pet Lodging, --,"Trained, Certified Pet Staff", --,Spacious Covered Outdoor Play, --,Custom Pet Stay Packages, --,Ultimate Pet Lodging Care, --,Year-Round Climate Comfort, --,Give Your Dog A Fun Vacation, --,Premium Overnight Love & Care, --,Top Dog Boarding Near Me, --, --, --, --, --, --, --, --,Resort-style dog boarding in Rockville. Spacious indoor/ and covered outdoor play zones., --,Premium dog boarding with personalized care. Cozy suites & fun activities, --,Expert staff at MD's largest pet center. Indoor/outdoor play & training daily., --,"Certified staff, luxury dog suites & fun activities. Transportation available.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-boarding,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Eligible,,Responsive search ad,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets,5.18%,5.27%,-0.08%,-1.55%,15.32%,15.57%,-0.25%,-1.62%,USD,41.18,43.05,-1.87,-4.34%,0.01,0.01,0.01, +95.70%,46.48,25.51,20.97, +82.21%,558,564,-6,-1.06%,3520.83,3781.52,-260.69,-6.89%,"10,764","10,711",53, +0.49%,6.31,6.70,-0.40,-5.89%,160100427789,1,0,1, +∞,4.50,3.00,1.50, +50.00%,85.49,87.84,-2.34,-2.67%
Paused,https://www.dogizone.com/dog-boarding/, --, --, --, --, --, --, --, --, --,Quality Dog Boarding, --,"Dog Resort in Rockville, MD", --,The Next Best Thing to Home, --,Trained & Certified Staff, --,DogiZone Dog Boarding, --,A Great Place to Stay & Play, --,Book Early For The Holidays, --,Your Dog's Home Away From Home, --,50% Off For 1st Time Customers, --,Large Indoor/Outdoor Facility, --,Book Your Dog's Stay Today, --,Give Your Dog A Fun Vacation, --,"DogiZone® Stay, Play, Train", --,Premium Overnight Love & Care, --,"Full-Service, Trusted Lodging", --, --,"Expert Care & Attention From Loving, Experienced & Certified Staff Members. We Love Dogs!", --,"Feel Confident that Your Dog is Happy & Secure in a Safe, Healthy, & Fun Environment.", --,Our Award-Winning Facility Offers the Most Activities & Outdoor Space for Your Dog—Call Us, --,We Take Care Of Your Best Friend With Lots Of Love & Attention. Book For Your Pet Today!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-boarding,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Dog Boarding KW | Target CPA,Paused,paused,Responsive search ad,Average,Try including more keywords in your headlines;Try including more keywords in your descriptions, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,160100427789,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-boarding/, --, --, --, --, --, --, --, --, --,Quality Dog Resort, --,"Dog Boarding in Rockville, MD", --,The Next Best Thing to Home, --,Trained & Certified Staff, --,DogiZone Dog Resort, --,A Great Place to Stay & Play, --,Book Early For The Holidays, --,Your Dog's Home Away From Home, --,50% Off For 1st Time Customers, --,Large Indoor/Outdoor Facility, --,Book Your Dog's Stay Today, --,Give Your Dog A Fun Vacation, --,"DogiZone® Stay, Play, Train", --,Premium Overnight Love & Care, --,"Full-Service, Trusted Lodging", --, --,"Expert Care & Attention From Loving, Experienced & Certified Staff Members. We Love Dogs!", --,"Feel Confident that Your Dog is Happy & Secure in a Safe, Healthy, & Fun Environment.", --,Our Award-Winning Facility Offers the Most Activities & Outdoor Space for Your Dog—Call Us, --,We Take Care Of Your Best Friend With Lots Of Love & Attention. Book For Your Pet Today!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-resort,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,Dog Resort,Not eligible,ad group paused,Responsive search ad,Excellent,, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,160100427749,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-training-paid/, --, --, --, --, --, --, --, --, --,Expert Behavior Training, --,Fast Results with Top Trainers, --,"Pro Dog Training, Fast Results", --,Top Certified Dog Trainers, --,Rockville Dog Training, --,Free Dog Training Evaluation, --,Award-Winning Dog Training, --,Personalized Dog Training Plan, --,We Can Train Any Dog, --,Dog Training Near Me, --,Proven Methods—Vet-Recommended, --,Guaranteed Results, --,DogiZone®, --, --, --, --, --, --,"Highly trained & certified trainers, fast training results, & the area's premier facility", --,Train your dog with the best in the business with guaranteed results. Call now!, --,Behavior training methods tested & proven by certified professional dog trainers., --,Get your free dog training evaluation & individualized training plan. Guaranteed results, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,play-stay-train,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Training | Max Conversions | Training | Phone + LeadForm | Montgomery County MD,Dog Behavior Training,Not eligible,ad group paused,Responsive search ad,Excellent,, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,176958429487,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Award-Winning Doggie Daycare, --,Safe & Healthy Environment, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Hours of exercise & stimulation. Supervised play groups. Professional staff., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,doggie-daycare, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Doggy/Doggie,Paused,under review; paused; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,64503560760,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-daycare/, --, --, --, --, --, --, --, --, --,Rockville Dog Daycare, --,Get a Free Day of Daycare, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Hours of Exercise & Stimulation for Your Dog in a Safe, Healthy Play Environment", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,free-day, --,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Daycare - Dog #2,Not eligible,under review; ad group removed,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,64503560280,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,DIY Dog Bathing, --,Private Dog Washing Stations, --,"Cuddle a Clean, Happy Dog", --,Rockville DIY Dog Bathing, --,Call us for more information, --,Book Your Reservation Today,3,Give Your Dog A Luxury Bath, --,DogiZone in Rockville, --,For All Your Grooming Needs, --,"Bathing, Grooming & Spa Svcs.", --,Self Serve Dog Wash Stations, --,Dog Wash Stations In Rockville, --,Self Service Dog Wash Stations, --,Wash Your Own Dog At DogiZone, --,Dog Wash Station Near You, --, --,Private Washing Stations Equipped With Everything You Need To Make Bath Time Easy., --,Hate The Hassle Of Bathing Your Dog At Home? Visit Our Private Dog Wash Rooms., --,"Located Inside the DogiMarket, Our Private Washing Stations Make Dog Bathing Easy!", --,Choose Our Full Grooming Services Or Use Our DIY Dog Wash., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,DIY Washing,Paused,paused; ad group paused,Responsive search ad,Good,Try including more keywords in your descriptions;Try adding a few more unique headlines or unpinning some assets, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,134791601745,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-grooming/, --, --, --, --, --, --, --, --, --,Full-Service Pet Grooming, --,Let Us Pamper Your Pet, --,We Treat Your Pet Like Family, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,"Our Gentle, Effective Techniques We Make Every Visit as Relaxing & Stress-Free as Possible", --, --,"Your Pet is in Great Hands with Our Experienced, Highly-Trained Staff. Call Today!", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-grooming,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Grooming | Target CPA | Grooming | Phone + LeadForm | Rockville MD,Grooming - Pet,Paused,paused; ad group paused,Expanded text ad, --, --, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,61922929175,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Paused,https://www.dogizone.com/dog-boarding/, --, --, --, --, --, --, --, --, --,Quality Pet Boarding, --,"Dog Boarding in Rockville, MD", --,The Next Best Thing to Home, --,Trained & Certified Staff, --,DogiZone Dog Boarding, --,A Great Place to Stay & Play, --,Book Early For The Holidays, --,Your Dog's Home Away From Home, --,50% Off For 1st Time Customers, --,Large Indoor/Outdoor Facility, --,Book Your Dog's Stay Today, --,Give Your Dog A Fun Vacation, --,"DogiZone® Stay, Play, Train", --,Premium Overnight Love & Care, --,"Full-Service, Trusted Lodging", --, --,"Expert Care & Attention From Loving, Experienced & Certified Staff Members. We Love Dogs!", --,"Feel Confident that Your Dog is Happy & Secure in a Safe, Healthy, & Fun Environment.", --,Our Award-Winning Facility Offers the Most Activities & Outdoor Space for Your Dog—Call Us, --,We Take Care Of Your Best Friend With Lots Of Love & Attention. Book For Your Pet Today!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-boarding,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Paused,paused,Responsive search ad,Good,Try including more keywords in your headlines;Try including more keywords in your descriptions, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,160100427829,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
Enabled,https://www.dogizone.com/dog-boarding-paid/, --, --, --, --, --, --, --, --, --,Premier Pet Boarding Care, --,Trusted Pet Boarding Service, --,Next Best Place To Home, --,Professional Pet Lodging, --,"Trained, Certified Pet Staff", --,Spacious Covered Outdoor Play, --,Custom Pet Stay Packages, --,Ultimate Pet Lodging Care, --,Year-Round Climate Comfort, --,Give Your Dog A Fun Vacation, --,Premium Overnight Love & Care, --,Top Rockville Pet Boarding, --,Pet Boarding Near Me, --,Pet Boarding Rockville MD, --, --, --, --,Resort-style dog boarding in Rockville. Spacious indoor/ and covered outdoor play zones., --,Premium dog boarding with personalized care. Cozy suites & fun activities, --,Expert staff at MD's largest pet center. Indoor/outdoor play & training daily., --,"Certified staff, luxury dog suites & fun activities. Transportation available.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,dog-boarding,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,ET | Pet Boarding KW | Target CPA,Eligible,,Responsive search ad,Excellent,,5.79%,5.91%,-0.12%,-2.00%,12.73%,18.49%,-5.76%,-31.14%,USD,51.82,34.52,17.30, +50.12%,0.01,0.01,0.01, +64.14%,49.01,31.58,17.44, +55.21%,536,586,-50,-8.53%,3536.71,3740.17,-203.46,-5.44%,"9,262","9,923",-661,-6.66%,6.60,6.38,0.22, +3.38%,160100427829,1,0,1, +∞,2.50,6.00,-3.50,-58.33%,68.25,108.36,-40.11,-37.01%
Paused,https://www.dogizone.com/dog-boarding/, --, --, --, --, --, --, --, --, --,Quality Pet Resort, --,"Pet Resort in Rockville, MD", --,The Next Best Thing to Home, --,Trained & Certified Staff, --,DogiZone Dog Boarding, --,A Great Place to Stay & Play, --,Book Early For The Holidays, --,Your Dog's Home Away From Home, --,50% Off For 1st Time Customers, --,Large Indoor/Outdoor Facility, --,Book Your Dog's Stay Today, --,Give Your Dog A Fun Vacation, --,"DogiZone® Stay, Play, Train", --,Premium Overnight Love & Care, --,"Full-Service, Trusted Lodging", --, --,"Expert Care & Attention From Loving, Experienced & Certified Staff Members. We Love Dogs!", --,"Feel Confident that Your Dog is Happy & Secure in a Safe, Healthy, & Fun Environment.", --,Our Award-Winning Facility Offers the Most Activities & Outdoor Space for Your Dog—Call Us, --,We Take Care Of Your Best Friend With Lots Of Love & Attention. Book For Your Pet Today!, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,pet-resort,rockville,No,, --, --,,ET | Search | TOFU_NewAudience | Boarding | Target CPA | Pet_Boarding | Phone + LeadForm | Montgomery County MD,Pet Resort,Paused,paused; ad group paused,Responsive search ad,Excellent,, --, --,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,USD,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0,0,0,0.00%,0,0,0.00,0.00%,160100428029,0,0,0,0.00%,0.00,0.00,0.00,0.00%,0.00,0.00,0.00,0.00%
