,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meta,,Headlines,Maximum of 25-40 Characters,,,,,Description,Maximum of 30 Characters,,,,,Primary Text,Maximum of 125 Characters,,,,,CTA,Only select from the approved CTAs,,,Final URL,,All approved to use,,,
,,,GH009,,,,,,GLH009,,,,,,GLH009,,,,,,GCTA009,,,,GURL009,,,,,
,,,GH010,,,,,,GLH010,,,,,,GLH010,,,,,,GCTA010,,,,GURL010,,,,,
,,,GH011,,,,,,GLH011,,,,,,GLH011,,,,,,GCTA011,,,,GURL011,,,,,
,,,GH012,,,,,,GLH012,,,,,,GLH012,,,,,,GCTA012,,,,GURL012,,,,,
,,,GH013,,,,,,GLH013,,,,,,GLH013,,,,,,GCTA013,,,,GURL013,,,,,
,,,GH014,,,,,,GLH014,,,,,,GLH014,,,,,,GCTA014,,,,GURL014,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Google,,Headlines,Maximum of 30 Characters,,,,,Long Headlines,Maximum of 90 Characters,,,,,Descriptions,Only select from the approved CTAs,,,,,CTA,,,,Sitelinks,"Sitelinks in are ad extensions that display additional links below your main ad text, directing users to specific pages on your website.",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Code,Category,Headline,# of Characters,Additional Headlines From the Client,,Code,Category,Long Headlines,# of Characters,Additional Headlines From the Client,,Code,Category,Descriptions,# of Characters,Additional Headlines From the Client,,Code,Category,CTA,,Code,Category,"Sitelink Text 
(Max 25 characters)","Sitelink Description Line 1
(Max 35 characters)","Sitelink Description Line 2
(Max 35 characters)","Sitelink Final URL
(Only 1)"
,,,GH001,Boarding,Premier Pet Boarding Care,,"Peace of Mind While You're Away

Boarding You Can Feel Good About

Stress Free Stays for Your Dog

Trusted Care While You Travel",,GLH001,Boarding,Rockville’s Largest Pet Boarding Facility With Certified Staff,,"A Safe, Loving Stay for Your Dog While You’re Away

Where Your Dog Feels at Home - Even When You’re Not

Enrichment-Focused Boarding With Play, Rest & Personalized Care

More Than Boarding - A Fun, Structured Stay for Your Dog",,GD001,Boarding,Resort-style dog boarding in Rockville. Spacious indoor/ and covered outdoor play zones.,,"Travel with confidence knowing your dog is safe & cared for by our experienced Rockville boarding team.

A safe, loving boarding stay for your dog while you’re out of town, with structured play & attentive care.

Clean, secure facility with trained staff & engaging indoor and outdoor play every single day.

Heading out of town? We provide safe, structured and fun dog boarding in Rockville with an exceptional petcare team.",,GCTA001,Boarding,,,GS001,Boarding,,,,
,,,GH002,Boarding,Trusted Pet Boarding Service,,"Premium Dog Boarding

Top Dog Boarding in Rockville

Vacation for You & Your Dog

Reserve Your Dog's Stay",,GLH002,Boarding,"Give Your Dog A Safe, Structured & Fun Boarding Experience",,"Personalized Boarding Plans Built Around Your Dog

Heading Out of Town? We’ve Got Your Dog Covered

Holiday & Weekend Dog Boarding You Can Trust

The Perfect Stay While You’re Away
",,GD002,Boarding,Premium dog boarding with personalized care. Cozy suites & fun activities,,"Stress-free dog boarding for busy families and frequent travelers who want reliable, engaging care.

Last-minute travel plans? Safe, secure and engaging Rockville dog boarding available.

Active play, cozy rest time and personalized attention built into every dog’s boarding stay.

Spacious suites, structured playgroups and enrichment activities included with every stay.",,GCTA002,,,,GS002,,,,,
,,,GH003,Boarding,Next Best Place To Home,,"Weekend & Holiday Boarding

Safety Is Our Priority

Premium Care, Every Stay

Personalized Boarding Plans",,GLH003,Boarding,Spacious Indoor Suites & Covered Outdoor Play Areas,,"Premium Rockville Dog Boarding With Individualized Attention

",,GD003,Boarding,Expert staff at MD's largest pet center. Indoor/outdoor play & training daily.,,"Fun-filled days and comfortable nights for a safe, engaging boarding experience.

Premium Rockville dog boarding with personalized care, structured play and loving engagement.

Luxury comfort, safe group play and professional oversight all in one trusted boarding facility.

Personalized boarding plans designed around your dog’s personality, routine and comfort.",,GCTA003,,,,GS003,,,,,
,,,GH004,Boarding,Professional Pet Lodging,,"Enrichment-Focused Boarding

Structured Play & Rest",,GLH004,Boarding,"Where Dogs Stay, Play & Relax While You’re Away",,,,GD004,Boarding,"Certified staff, luxury dog suites & fun activities. Transportation available.",,,,GCTA004,,,,GS004,,,,,
,,,GH005,Boarding,"Trained, Certified Pet Staff",,,,GLH005,Boarding,Trusted Rockville Dog Boarding With Personalized Care,,,,GD005,Daycare,"Vet-approved fun! DogiZone, your dog's resort with both indoor and outdoor play zones",,,,GCTA005,,,,GS005,,,,,
,,,GH006,Boarding,Spacious Covered Outdoor Play,,,,GLH006,Daycare,"A Tired Dog Is a Happy Dog - Active, Engaged Play All Day",,"A Tired Dog Is a Happy Dog - Active, Engaged Play All Day

Structured Play That Keeps Dogs Active & Engaged

Stress-Free Daycare for Dogs of Busy Owners

Safe, Reliable Care While You’re at Work",,GD006,Daycare,"Tailored play, inside and out! DogiZone groups dogs by size & playstyle. Best Dog Daycare",,"A tired dog is a happy dog. Engaging playgroups, enrichment & structured activity all day at DogiZone.

Active dogs thrive here with safe group play, enrichment & attentive staff on-site all day.

At work all day? Give your dog safe, engaging fun with structured play & enrichment at DogiZone.

Reliable daycare for busy dog parents with convenient curbside drop off and pick up.",,GCTA006,,,,GS006,,,,,
,,,GH007,Boarding,Custom Pet Stay Packages,,,,GLH007,Daycare,"Safe, Climate-Controlled Dog Daycare Designed For Fun & Enrichment",,"Engaging Playgroups With Trained Staff On-Site All Day

Thoughtfully Designed Playgroups for Every Dog

Personalized Play Plans for Every Dog

",,GD007,Daycare,Beyond play! DogiZone offers enriching experiences in both indoor and outdoor settings,,"Stress-free daycare with flexible drop-off & pick-up options.

Engaging playgroups with careful size & temperament matching ensuring the best experience for your dog.

More than just play - structured enrichment, socialization & engaging activity tailored to your dog.

Personalized play programs in Rockville’s largest indoor & outdoor daycare facility.

",,GCTA007,,,,GS007,,,,,
,,,GH008,Boarding,Ultimate Pet Lodging Care,,,,GLH008,Daycare,"Where Dogs Stay Active, Social & Supervised All Day",,,,GD008,Daycare,We're the largest indoor/outdoor climate-controlled dog daycare facility in MoCo County.,,,,GCTA008,,,,GS008,,,,,
,,,GH009,Boarding,Year-Round Climate Comfort,,,,GLH009,Daycare,A Premium Daycare Experience for Your Dog,,,,GD009,Training,"Beyond basics! DogiZone builds confident dogs through fun, structured training.",,"Enjoy calmer walks, better manners at home and a dog you’re proud to take anywhere with expert training.

From leash pulling to jumping on guests, we help turn frustrating habits into reliable obedience.

Practical dog training built for real-life situations, not just the classroom.

Clear communication, consistent structure and noticeable behavior improvements.",,GCTA009,,,,GS009,,,,,
,,,GH010,Boarding,Give Your Dog A Fun Vacation,,,,GLH010,Daycare,"Give Your Dog A Safe, Structured & Fun Daycare Experience",,,,GD010,Training,Confidence starts here! Expert trainers guiding dogs every step.,,"Struggling with bad habits? Our trainers create a clear path to better behavior.

Build strong foundations early with puppy training designed for lifelong good habits.

Peaceful evenings, stress-free walks and a calmer home start with professional training.

Because life is easier, calmer and more enjoyable with a well-behaved, confident dog.",,GCTA010,,,,GS010,,,,,
,,,GH011,Boarding,Premium Overnight Love & Care,,,,GLH011,Training,Professional Dog Training Programs For Puppies & Adult Dogs,,,,GD011,Training,More than commands! We build better behavior through engaging sessions.,,,,GCTA011,,,,GS011,,,,,
,,,GH012,Boarding,Top Rockville Pet Boarding,,,,GLH012,Training,"Private, Group & Camp Training In Rockville MD",,,,GD012,Training,Rockville’s trusted dog trainers for confidence and obedience.,,,,GCTA012,,,,GS012,,,,,
,,,GH013,Boarding,Pet Boarding Near Me,,,,GLH013,Training,Behavior-Focused Dog Training With Certified Trainers,,,,GD013,Training,Skill-building made fun! Certified trainers and proven methods.,,,,GCTA013,,,,GS013,,,,,
,,,GH014,Boarding,Pet Boarding Rockville MD,,,,GLH014,Training,Build Confidence & Obedience Through Structured Training,,,,GD014,,,,,,GCTA014,,,,GS014,,,,,
,,,GH015,Daycare,Premier Dog Daycare,,,,GLH015,Training,Customized Dog Training Plans For Real-World Results,,,,,,,,,,,,,,,,,,,
,,,GH016,Daycare,Rockville's Top Doggy Daycare,,,,GLH016,,,,,,,,,,,,,,,,,,,,,
,,,GH017,Daycare,Trusted Dog Play Experts,,,,GLH017,,,,,,,,,,,,,,,,,,,,,
,,,GH018,Daycare,Expert Dog Care Staff,,,,GLH018,,,,,,,,,,,,,,,,,,,,,
,,,GH019,Daycare,Indoor & Outdoor Play Areas,,,,GLH019,,,,,,,,,,,,,,,,,,,,,
,,,GH020,Daycare,Come Stay & Play,,,,GLH020,,,,,,,,,,,,,,,,,,,,,
,,,GH021,Daycare,Dog Daycare Near Me,,,,GLH021,,,,,,,,,,,,,,,,,,,,,
,,,GH022,Daycare,Next Best Place To Home,,,,GLH022,,,,,,,,,,,,,,,,,,,,,
,,,GH023,Daycare,Spacious Covered Outdoor Play,,,,GLH023,,,,,,,,,,,,,,,,,,,,,
,,,GH024,Daycare,Personalized Play Programs,,,,GLH024,,,,,,,,,,,,,,,,,,,,,
,,,GH025,Daycare,Local Dog Daycare,,,,GLH025,,,,,,,,,,,,,,,,,,,,,
,,,GH026,Daycare,Safe & Supervised Dog Play,,,,GLH026,,,,,,,,,,,,,,,,,,,,,
,,,GH027,Daycare,Fun-Focused Dog Care,,,,GLH027,,,,,,,,,,,,,,,,,,,,,
,,,GH028,Daycare,Where Dogs Love To Stay,,,,GLH028,,,,,,,,,,,,,,,,,,,,,
,,,GH029,Training,Professional Dog Training,,,,GLH029,,,,,,,,,,,,,,,,,,,,,
,,,GH030,Training,Expert Dog Behavior Help,,,,GLH030,,,,,,,,,,,,,,,,,,,,,
,,,GH031,Training,Rockville Dog Training,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH032,Training,Puppy Training Programs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH033,Training,Private Dog Training,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH034,Training,Group Dog Classes,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH035,Training,Dog Training Camps,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH036,Training,Certified Dog Trainers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH037,Training,Structured Training Plans,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH038,Training,Behavior-Focused Training,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH039,Training,Custom Dog Training Plans,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH040,Training,Puppy To Advanced Skills,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH041,Training,Trusted Rockville Trainers,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GH042,Training,Build Better Dog Behavior,,,,,,,,,,,,,,,,,,,,,,,,,
