,,,,,,,,,,,,,,,,,,,,,,,,,
,Media Plan DogiZone,,,,,,,,,,,,,,,,,,,,,,,,
,Google,TOFU,Search,Training,Dog Training 2025,Dynamic Training,Max Conversions ,"Submit Lead Forms
Phone Call Leads
Book Appointments","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. Montgomery County, MD

Exclude VA and Prince George’s County.",17.62%,"$1,842.29",$59.43,CPL + Overall Leads (Calls as a % and leads as a counter),,,,This is an existing campaign with edits on configuration. ,,,,,,,
,Google,TOFU,Search,Grooming,Grooming Search Campaign,Grooming - Dog,Max Conversions: Target CPA $40,"Submit Lead Forms
Phone Call Leads","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 8 mi around Store
2. Various Postal Codes around Rockville, MD

Exclude VA and Prince George’s County.",12.54%,"$1,310.86",$42.29,CPL + Overall Leads (Calls as a % and leads as a counter),,,,"Remove ""Store Visit"" Conversion Goal (no discernible impact) 

This is an existing campaign with edits on configuration. ",,,,,,,
,Google,TOFU,Search,Daycare,Daycare Search Campaign - Exact,Dog Daycare,Max Conversions: Target CPA $60,"Submit Lead Forms
Phone Call Leads
Contacts","Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Boyds, MD
3. Clarksburg, MD
4. Darnestown, MD
5. Montgomery Village, MD
6. North Potomac, MD
",15.08%,"$1,576.57",$50.86,CPL + Overall Leads (Calls as a % and leads as a counter),,,,"Previous month didn't spend the full amount of the budget. 

This is an existing campaign with edits on configuration. ",,,,,,,
,Google,TOFU - MOFU,"PMAX
 New Customers",Boarding & Daycare,ET | PMAX | Bid New Customers | Boarding & Day Care | Max Conversions,"2 Ad Groups: 
Boarding + Dog Daycare",Max Conversions,"Phone Call Leads
Book Apointment 
(Reservation Form Completion)
Submit Lead Form 
(Email Link)","Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25 - 64","1. 15 mi around Store
2. Montgomery County, MD
3. Rockville, MD",7.62%,$797.14,$25.71,CPL + Overall Leads (Calls as a % and leads as a counter),,,,Missing assets to activate (images and videos). ,,,,,,,
,Google,MOFU - BOFU,PMAX,Training,ET | PMAX | Dog Training | Max Conversions | All Primary Conversions,Dog Training,Max Conversions,"1. Phone Call Leads
2. Book Apointment 
(Reservation Form Completion)
3. Submit Lead Form 
(Email Link)","Custom Segments: Interests + Search
Audiences:
Pet Food & Supplies (In Market)
Pet Lovers (Affinity)
Dog Supplies (In Market)
Dog Food & Supplies (In Market)
Dog Lovers (Affinity)
New Pet (Life Event)
Age: 25- 64",1. 20 mi around Store,5.93%,$620.00,$20.00,CPL + Overall Leads (Calls as a % and leads as a counter),,,,Missing assets to activate (images and videos). ,,,,,,,
,Meta,TOFU,Lead - Call,Training & Boarding,ET | TOFU | Lead - Call | ABO | Training + Boarding ,ET | TOFU | Opt. Calls | Max Calls | Interest Based Dogs | A+ | Geo Maryland 15mi | Excluding Engaged + Existing Audiences,Max Conversion Calls,Calls,Broad,"Interest Based Targeting on Dog Terms with A+ and restriction on web visits, engagement on IG/FB, Calls.

1. Montgomery County, MD

Exclude VA and Prince George’s County.",5.93%,$620.00,$20.00,CPL + Overall Leads (Calls as a % and leads as a counter),,,,New Campaign defining benchmark. Experiment of only Call to define cost per Call and A/B test with Web/Call funnel option. Later expansion to specific services based on results. ,,,,,,,
,Meta,TOFU,Lead - Web & Call,Training & Boarding,ET | TOFU | Lead - Lead & Call | ABO | Training + Boarding ,ET | TOFU | Opt. Calls (+40%) + Leads | Max Conversions | Interest Based Dogs | A+ | Geo Maryland 15mi | Excluding Engaged + Existing Audiences,Max Conversions,"1. Calls
2. Leads",Broad,"Interest Based Targeting on Dog Terms with A+ and restriction on web visits, engagement on IG/FB, Calls.

1. Montgomery County, MD

Exclude VA and Prince George’s County.",5.93%,$620.00,$20.00,CPL + Overall Leads (Calls as a % and leads as a counter),,,,New Campaign defining benchmark. Experiment of Web/Call funnel option. ,,,,,,,
,Meta,MOFU - BOFU,Lead Form + Call,Training & Boarding,ET | MOFU | Lead - Lead & Call | ABO | Training + Boarding ,ET | MOFU-BOFU | Opt. Calls (+40%) + Leads | Max Conversions | A+ | Geo Maryland 15mi | Including Engaged + Existing Audiences Only,Max Conversions,"1. Calls
2. Leads",Broad,"Inclusion of web visits, engagement with ads or social accounts in FB/IG, Calls

3. 25 mi around Rockville, MD",2.96%,$310.00,$10.00,CPL + Overall Leads (Calls as a % and leads as a counter),,,,New Campaign defining benchmark,,,,,,,
,TOTAL,,,,,,,,,,100.00%,"$10,457.07",$450.57,-,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Current Settings on Accounts,,,,,,,,,,,,,,,,,,,,,,,,
,Channel,Type,Notes,,,,,,,,,,,,,,,,,,,,,,
,Google,Conversion Values,Assess Real Conv. Value for Call Leads,,,,,,,,,,,,,,,,,,,,,,
,Google,Primary Actions,Will continue to use current Primary Conversion Actions. Segment via Campaign Goals and Structure,,,,,,,,,,,,,,,,,,,,,,
